"","killer_position_x","killer_position_y","victim_position_x","victim_position_y","killed_by","time","GunType","killerelevation","victimelevation","killdistance"
"33618338",540034.3,415873.6,538840.8,413281.9,"Grenade",1187,"Explosives","Normal","Normal",2853.30530087472
"14607493",543449.7,252991.3,543407.3,253434.1,"S12K",359,"Shotgun","Normal","Normal",444.825358989354
"4922268",572454.1,419359.6,577925.8,416175.9,"Kar98k",1223,"Sniper","Normal","Normal",6330.51708630507
"22584029",310470.2,374176.6,310774,378484.8,"M416",1410,"Rifle","Normal","Normal",4318.89820208813
"16853218",364846.9,395206.2,364650.6,394974,"M16A4",115,"Rifle","Normal","Normal",304.056787459224
"11023805",497959.2,281028.3,502365,284769.5,"M416",1268,"Rifle","Normal","Normal",5779.93521416979
"18385176",329104,394287.6,330303.8,392368,"UMP9",1432,"Sub Machine Gun","Normal","Normal",2263.71027298104
"23952030",218662.7,563945.8,218373.2,564612.4,"UMP9",211,"Sub Machine Gun","Elevated","Elevated",726.750170278596
"20151248",389773.9,289441.2,389634.2,287594.8,"M16A4",329,"Rifle","Normal","Normal",1851.67736120526
"7236009",431301.6,628752.7,431357,628763.1,"Punch",116,"Melee","Normal","Normal",56.3677212596275
"4973650",336764.6,547909,344557.2,558013.6,"M16A4",778,"Rifle","Normal","Normal",12760.3901162935
"9598730",171556.9,629532.4,172586.9,631388.7,"UMP9",207,"Sub Machine Gun","Normal","Normal",2122.91066462999
"28757088",663470.1,318666.9,666011.2,318814.4,"SCAR-L",488,"Rifle","Normal","Normal",2545.37727262579
"10884353",548525.9,424019.3,548853,423746.6,"M416",1395,"Rifle","Normal","Normal",425.863475775971
"1378837",222482.8,353303.4,223437.7,353726.9,"AKM",1688,"Rifle","Normal","Normal",1044.59861190796
"18284601",482334.3,652357.8,482334.3,652357.8,"Grenade",292,"Explosives","Elevated","Elevated",0
"29327455",418572.4,329476.1,418429.3,328901.8,"P1911",293,"Pistol","Normal","Normal",591.859865170799
"18584193",347491.2,453242.4,345388.1,452092.2,"M416",1763,"Rifle","Normal","Normal",2397.07940001999
"19463866",188934.6,523995.8,188575.2,524273.9,"P92",290,"Pistol","Elevated","Elevated",454.431479983523
"20735427",163395.1,277207.6,163581.1,277291.1,"SCAR-L",220,"Rifle","Normal","Normal",203.882932095848
"39006130",386762.1,672169.3,387061.5,671792.9,"Hit by Car",1103,"Vehicles","Normal","Normal",480.954592451337
"34859588",165397,602586.4,165440.2,602518.7,"Punch",466,"Melee","Normal","Normal",80.3089658756136
"2759826",438987.2,428158.9,438538.9,428281,"Tommy Gun",1487,"Sub Machine Gun","Normal","Normal",464.630283128407
"26765064",490444.8,450348.7,490706.6,450547.3,"UMP9",750,"Sub Machine Gun","Normal","Normal",328.604929969081
"18149652",368982.7,398824.4,368226.2,397772.3,"S12K",522,"Shotgun","Normal","Normal",1295.84206599418
"4065170",553411,126862.9,553976.8,127022.2,"AKM",221,"Rifle","Normal","Normal",587.797694789673
"4611801",364841.7,398044.1,364847.4,398159.4,"AKM",491,"Rifle","Normal","Normal",115.440807343031
"35360427",517285.5,447142.3,530776.1,444478.4,"M249",1358,"Machine Gun","Normal","Normal",13751.0963770166
"14356902",221673.2,468690.2,217849.8,469827.6,"Kar98k",1495,"Sniper","Elevated","Elevated",3988.99314614604
"17295017",455969.6,630445.9,456058.6,630086,"S1897",137,"Shotgun","Normal","Normal",370.741163077445
"21088035",621199.1,297450.1,621556.9,296665.4,"M416",976,"Rifle","Normal","Normal",862.423869103795
"1961915",614629.8,258685.1,615230.6,263678.7,"SCAR-L",960,"Rifle","Normal","Normal",5029.61247016109
"38631400",423477.9,326589.9,423335.5,326796.1,"S1897",106,"Shotgun","Normal","Normal",250.591699782709
"3785740",590075.8,434111.7,588860.7,429080.8,"Uaz",1470,"Vehicles","Normal","Normal",5175.56014553019
"15743028",524863.4,485950.6,526037.7,485654.8,"UMP9",631,"Sub Machine Gun","Normal","Normal",1210.98229962284
"38485747",367190.2,365201.4,365428.8,364932.8,"SKS",1648,"Sniper","Normal","Normal",1781.76202675893
"39540043",619085.2,290191.7,619085.2,290191.7,"Uaz",966,"Vehicles","Normal","Normal",0
"15969392",627350.9,378582.5,627823.2,378505.3,"Tommy Gun",281,"Sub Machine Gun","Normal","Normal",478.567790391221
"18808801",351269.2,163614,351269.2,163614,"Uaz",396,"Vehicles","Normal","Normal",0
"34226391",520155.2,354819.1,526243.3,368495.2,"Mini 14",986,"Rifle","Normal","Normal",14969.9924121558
"28954800",417281.2,728227.8,395222.5,727851.8,"Kar98k",1357,"Sniper","Normal","Normal",22061.9043078788
"17219058",202219.5,287006.1,201942.1,286906.3,"Tommy Gun",157,"Sub Machine Gun","Normal","Normal",294.8063771359
"34703406",222971.6,391440.1,222990.2,391741.9,"UMP9",194,"Sub Machine Gun","Normal","Normal",302.372617807943
"21207320",407085.2,282404.3,406790.8,282265.3,"UMP9",1212,"Sub Machine Gun","Normal","Normal",325.56467867386
"18430286",467445.8,415432.4,467329.8,415727.4,"SCAR-L",1563,"Rifle","Normal","Normal",316.987381452322
"29439856",627266.1,378677.8,627376.4,378836.3,"Tommy Gun",139,"Sub Machine Gun","Normal","Normal",193.1018902031
"15940970",418705.3,324330.2,419881.6,324359.8,"M416",247,"Rifle","Normal","Normal",1176.67236306458
"8992626",484999.8,305518.7,486312.5,308836.4,"M16A4",1729,"Rifle","Normal","Normal",3567.95663931053
"6881527",571970.3,379251.3,571376.8,379319.2,"AKM",253,"Rifle","Normal","Normal",597.371458976743
"3230870",255106.4,351439.3,255106.4,351439.3,"Grenade",1902,"Explosives","Normal","Normal",0
"14156014",500094.1,285866.4,511299.7,298904.1,"M416",660,"Rifle","Normal","Normal",17191.4831428239
"10190322",392022.6,280213.2,389776.8,278414.9,"SKS",766,"Sniper","Normal","Normal",2877.06456827092
"27307708",606016.1,334510.2,600582.3,335895.2,"AKM",1886,"Rifle","Normal","Normal",5607.53131422369
"37289730",451182.5,620975,451124.6,620843.1,"S12K",141,"Shotgun","Normal","Normal",144.048672329907
"24439025",594722.3,297144.5,593574.3,295397.4,"SCAR-L",802,"Rifle","Normal","Normal",2090.51725895768
"39491938",665179.3,92927.83,666014.8,94107.2,"AKM",234,"Rifle","Normal","Normal",1445.32828343598
"39704266",431325.5,628626.1,431300.8,628782.3,"SCAR-L",330,"Rifle","Normal","Normal",158.140854936422
"14853664",364063.3,398195.9,364394.9,398022.9,"S1897",431,"Shotgun","Normal","Normal",374.01545422619
"13162610",447606.8,622889.6,447108.9,624391.2,"M16A4",261,"Rifle","Normal","Normal",1581.9946175635
"37090798",412951.9,414913.8,411022.9,430874.6,"M416",1289,"Rifle","Normal","Normal",16076.9455320344
"31212331",378026.6,135441.6,378197.2,134698.9,"Mini 14",524,"Rifle","Normal","Normal",762.041763947377
"28407958",287897.3,336656,249745.3,317840.8,"Kar98k",1334,"Sniper","Normal","Normal",42539.2390040066
"22281806",268263.8,249370.5,273584.7,267824.7,"M16A4",675,"Rifle","Normal","Normal",19205.9749674418
"12796222",710882.7,340289.7,710683.5,340474.9,"M416",544,"Rifle","Normal","Normal",271.992058707577
"11004609",539217.4,226794,536275.9,231852.3,"M16A4",280,"Rifle","Normal","Normal",5851.39480295082
"312918",305112,192590.9,310923.7,193848.5,"M249",1279,"Machine Gun","Normal","Normal",5946.21010812771
"19063669",371131.2,460828.1,358574.2,467563.3,"SCAR-L",1055,"Rifle","Normal","Normal",14249.251490517
"33597757",437019.6,449712.3,437122,450830.4,"Mini 14",305,"Rifle","Normal","Normal",1122.77930600812
"7755328",469196.9,313059.5,469369.1,312994.8,"AKM",1466,"Rifle","Normal","Normal",183.953608282049
"3021119",357838.9,399604.8,357914.6,399969,"AKM",411,"Rifle","Normal","Normal",371.984045356789
"22204012",368008.3,416266.7,367392,411891.9,"SCAR-L",331,"Rifle","Normal","Normal",4417.99736645461
"20548855",216659.7,282350.2,218238.3,283386.6,"SCAR-L",352,"Rifle","Normal","Normal",1888.41280444712
"2599993",708258,329244.3,714800.9,330569.1,"M416",548,"Rifle","Normal","Normal",6675.67490595522
"13965726",367115.9,410951.4,366946.3,412350.7,"P1911",177,"Pistol","Normal","Normal",1409.54058118239
"26861391",469424.2,315771.8,473728.6,326924.1,"SCAR-L",649,"Rifle","Normal","Normal",11954.1480102097
"32641975",446214.5,629520.9,447362.6,629544.1,"UMP9",310,"Sub Machine Gun","Normal","Normal",1148.33438074454
"7339020",287068.5,302128.7,286517.8,302120.2,"M416",1358,"Rifle","Normal","Normal",550.765594422902
"17034221",456914.2,623075.1,445413.6,615445.1,"Kar98k",265,"Sniper","Normal","Normal",13801.4745719434
"24485375",259462.1,417336.9,265579.8,402924.4,"M16A4",1345,"Rifle","Normal","Normal",15657.1520251928
"26183589",552872.4,571163.8,552347.4,569481.9,"AKM",997,"Rifle","Normal","Normal",1761.93433759606
"36558325",539737.7,225561.7,541058.9,225227.3,"SCAR-L",1246,"Rifle","Normal","Normal",1362.86198861081
"13992253",267985.9,570177.3,262376.1,574776.6,"Kar98k",897,"Sniper","Normal","Elevated",7254.19992349259
"11121231",378637.2,306837.6,394929.3,308344.3,"SKS",544,"Sniper","Normal","Normal",16361.6217808627
"19823313",446359.1,629471.1,446809.3,629421.6,"M416",320,"Rifle","Normal","Normal",452.913115288143
"33796615",361911.3,411448.1,361270.2,413177.3,"AKM",631,"Rifle","Normal","Normal",1844.21849302083
"25786675",294356.1,566141.6,294887,566466.4,"S1897",137,"Shotgun","Normal","Normal",622.374364832016
"30050440",446118.4,506370.1,447235,504423.2,"M416",1316,"Rifle","Normal","Normal",2244.37411542724
"17187427",423577.4,324927.1,423511.5,325545.7,"S686",218,"Shotgun","Normal","Normal",622.100289342519
"3585551",619455.6,415765.3,623203.8,412465.7,"M16A4",1286,"Rifle","Normal","Normal",4993.63228522089
"19714923",442403.9,338448.3,442375.1,338589.1,"UMP9",411,"Sub Machine Gun","Normal","Normal",143.715274066466
"27304308",565250.7,386102.8,565300.4,385966.8,"S12K",242,"Shotgun","Normal","Normal",144.796719576125
"20544288",634547.5,233475,631541.4,247562,"AKM",1504,"Rifle","Normal","Normal",14404.1732220215
"6320576",408623.2,293906.5,405723.2,295111.8,"M416",449,"Rifle","Normal","Normal",3140.50124820863
"5471238",634234.6,215029.2,634292.6,215545.4,"Hit by Car",138,"Vehicles","Normal","Normal",519.448207235314
"26855072",558142.9,485120,558666.3,485161.7,"SCAR-L",1657,"Rifle","Normal","Normal",525.058520547972
"22547347",566148.8,250349.2,565357.6,250863.6,"Vector",1454,"Sub Machine Gun","Normal","Normal",943.71860212677
"24286105",556679.7,135928,556497.9,135450.9,"S12K",431,"Shotgun","Normal","Normal",510.564050830041
"9996420",456847.4,673754.4,439499.9,649805.8,"M416",1489,"Rifle","Normal","Normal",29571.459182969
"14790236",467502.2,472225.3,468087.9,472289.5,"Micro UZI",866,"Sub Machine Gun","Normal","Normal",589.208053237577
"37901750",533801.8,235492.8,534380.4,234640.5,"AKM",219,"Rifle","Normal","Normal",1030.142344533
"33411777",412722.2,481353,412795.1,481410.9,"Punch",102,"Melee","Normal","Normal",93.095757153576
"7871796",584304.8,683795.7,592808.4,689141.3,"M16A4",1364,"Rifle","Elevated","Elevated",10044.234780211
"31502423",716949.8,410425.7,715674.9,409871.3,"M416",920,"Rifle","Normal","Normal",1390.2263736529
"16018470",322772,418637.5,322357.9,419021.7,"Hit by Car",1163,"Vehicles","Normal","Normal",564.879146366716
"15734691",393641.1,233923,393828.9,233778.6,"Micro UZI",416,"Sub Machine Gun","Normal","Normal",236.897024042126
"38072444",159305.5,280720.2,157548.4,280180.5,"Micro UZI",95,"Sub Machine Gun","Normal","Normal",1838.1176512944
"25038551",324881.4,327314.1,331831.6,341235.6,"M16A4",1706,"Rifle","Normal","Normal",15559.9949321971
"3867701",133713.5,125354.9,134893.3,124943.6,"Tommy Gun",125,"Sub Machine Gun","Normal","Normal",1249.43816573689
"18983029",238302.4,417381.1,238977.1,420080.2,"S1897",430,"Shotgun","Normal","Normal",2782.15040930576
"39697597",161630.3,213194.6,161715.7,213747.4,"Tommy Gun",317,"Sub Machine Gun","Normal","Normal",559.357667329224
"8894156",588703.9,465110.2,590540.6,480720.3,"VSS",766,"Sub Machine Gun","Normal","Normal",15717.7825694339
"19461148",306329.1,506801,303940.1,504077.1,"M16A4",224,"Rifle","Normal","Normal",3623.11360710648
"24155852",402265.2,405264.3,403913.9,406378.6,"M16A4",259,"Rifle","Normal","Normal",1989.94376302448
"37378848",392724.7,277838.2,392618.5,278160.1,"M416",129,"Rifle","Normal","Normal",338.96614875232
"2541217",469891,621932.1,473871.8,622031.9,"M416",518,"Rifle","Elevated","Elevated",3982.05081333726
"6200367",573660.4,611861.9,567806.9,595313.6,"SCAR-L",455,"Rifle","Elevated","Normal",17553.0537269161
"17144128",432245.4,635831.3,432230.2,635723.1,"M16A4",126,"Rifle","Normal","Normal",109.262436363169
"11784439",371682.1,411771.1,371018.8,412856.3,"M416",206,"Rifle","Normal","Normal",1271.85924142572
"4247039",606695.6,594958.8,608020.6,594776.8,"SKS",127,"Sniper","Normal","Normal",1337.44121366137
"27927559",337170.4,164367.5,338810.1,164089.3,"UMP9",248,"Sub Machine Gun","Normal","Normal",1663.13298626413
"11355638",603749.8,160524.5,603700.2,160461.7,"Punch",128,"Melee","Normal","Normal",80.0249960950188
